location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-02 20:34:47 +0100;21;regular;""
Münsterplatz , Ulm;2020-03-02 20:39:16 +0100;21;regular;""
Münsterplatz , Ulm;2020-03-02 20:43:20 +0100;10;regular;""
Münsterplatz , Ulm;2020-03-02 20:48:50 +0100;20;regular;""
Münsterplatz , Ulm;2020-03-02 20:54:56 +0100;23;regular;""
Münsterplatz , Ulm;2020-03-02 20:59:53 +0100;16;regular;""
Münsterplatz , Ulm;2020-03-02 21:04:53 +0100;14;regular;""
Münsterplatz , Ulm;2020-03-02 21:08:18 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 21:14:44 +0100;10;regular;""
Münsterplatz , Ulm;2020-03-02 21:19:19 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 21:24:41 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 21:29:58 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 21:33:16 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 21:34:09 +0100;12;regular;""
Münsterplatz , Ulm;2020-03-02 21:38:36 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 21:41:52 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 21:48:15 +0100;11;regular;""
Münsterplatz , Ulm;2020-03-02 21:52:38 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 21:59:31 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 22:04:30 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 22:05:32 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 22:08:25 +0100;13;regular;""
Münsterplatz , Ulm;2020-03-02 22:12:46 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 22:19:34 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 22:28:11 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 22:34:59 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 22:39:05 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 22:43:19 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 22:53:36 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 22:57:54 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 23:00:47 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 23:07:34 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 23:12:34 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 23:24:33 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 23:27:36 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 23:34:01 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 23:42:32 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 23:47:13 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 23:58:33 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-03 00:09:38 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-03 00:18:14 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-03 00:23:00 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-03 00:30:21 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-03 00:39:35 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-03 00:43:43 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-03 00:52:35 +0100;1;regular;""
